CPU Time;Module;Clockticks;Instructions Retired;CPI Rate;Light Operations;Heavy Operations;Front-End Latency;Front-End Bandwidth MITE;Front-End Bandwidth DSB;(Info) DSB Coverage;(Info) DSB Misses;Bad Speculation;Back-End Bound;Average CPU Frequency;Function (Full);Source File;Start Address
0.000903615;user32.dll;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;DwmGetDxSharedSurface;[Unknown];0x18002e790
0.00271085;dwmapi.dll;1800000;0;;0;0;0;0;0;0;0;0;1;6.63999e+08;DwmpDxGetWindowSharedSurface;[Unknown];0x180005fe0
0.00180723;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;9.95999e+08;DxgkEngAcquireStableSprite;[Unknown];0x1c0275e00
0.00451808;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;3.984e+08;DxgkEngAcquireStableVisRgn;[Unknown];0x1c0275eb0
0;win32kfull.sys;1800000;3600000;0.5;1;0;0;0;0;0;0;0;1;;DxgkEngAddRedirBitmapD3DDirtyRgn;[Unknown];0x1c0276010
0.000903615;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;DxgkEngGetClientRect;[Unknown];0x1c0276be0
0.000903615;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;DxgkEngGetDC;[Unknown];0x1c0276c70
0.00180723;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;DxgkEngGetRedirBitmapSharedHandle;[Unknown];0x1c0276d50
0;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;DxgkEngGetRgnData;[Unknown];0x1c0276e40
0.000903615;win32kfull.sys;0;0;0;0;0;0;0;0;0;0;0;1;0;DxgkEngLockVisRgn;[Unknown];0x1c0276ef0
0;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;DxgkEngReleaseDC;[Unknown];0x1c0276f60
0.00180723;win32kfull.sys;0;1800000;0;;;0;0;0;0;0;0;1;0;DxgkEngReleaseStableSprite;[Unknown];0x1c0276fa0
0;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;;DxgkEngReleaseStableVisRgn;[Unknown];0x1c0277050
0.000903615;win32kfull.sys;1800000;0;;0;0;0;0;0;0;0;0;1;1.992e+09;DxgkEngWatchVisRgnChange;[Unknown];0x1c0277110
0.00361446;dxgkrnl.sys;0;0;0;0;0;0;0;0;0;;0;1;0;DxgkGetDeviceState;[Unknown];0x1c00f8570
